,t,yposition,velocity,aceleration
135,67.5,16981.454999999998,-657.27,-9.810000000000173
136,68.0,16651.59375,-662.1750000000001,-9.809999999999945
137,68.5,16319.279999999999,-667.08,-9.809999999999945
138,69.0,15984.513749999998,-671.985,-9.809999999999945
139,69.5,15647.294999999998,-676.89,-9.810000000000173
140,70.0,15307.623749999999,-681.7950000000001,-9.809999999999945
141,70.5,14965.5,-686.7,-9.809999999999945
142,71.0,14620.923749999998,-691.605,-9.809999999999945
143,71.5,14273.895,-696.51,-9.810000000000173
144,72.0,13924.41375,-701.4150000000001,-9.809999999999945
145,72.5,13572.48,-706.32,-9.809999999999945
146,73.0,13218.09375,-711.225,-9.809999999999945
147,73.5,12861.254999999997,-716.13,-9.810000000000173
148,74.0,12501.963749999999,-721.0350000000001,-9.809999999999945
149,74.5,12140.219999999998,-725.94,-9.809999999999945
150,75.0,11776.02375,-730.845,-9.809999999999945
151,75.5,11409.375,-735.75,-9.810000000000173
152,76.0,11040.27375,-740.6550000000001,-9.809999999999945
153,76.5,10668.719999999998,-745.5600000000001,-9.809999999999945
154,77.0,10294.713749999999,-750.465,-9.809999999999945
155,77.5,9918.254999999997,-755.37,-9.810000000000173
156,78.0,9539.34375,-760.2750000000001,-9.809999999999945
157,78.5,9157.98,-765.1800000000001,-9.809999999999945
158,79.0,8774.16375,-770.085,-9.809999999999945
159,79.5,8387.894999999997,-774.99,-9.810000000000173
160,80.0,7999.173749999998,-779.8950000000001,-9.809999999999945
161,80.5,7608.0,-784.8000000000001,-9.809999999999945
162,81.0,7214.373749999999,-789.705,-9.809999999999945
163,81.5,6818.294999999998,-794.61,-9.809999999999945
164,82.0,6419.763749999998,-799.515,-9.810000000000173
165,82.5,6018.779999999999,-804.4200000000001,-9.809999999999945
166,83.0,5615.34375,-809.325,-9.809999999999945
167,83.5,5209.455000000002,-814.23,-9.809999999999945
168,84.0,4801.113749999997,-819.135,-9.810000000000173
169,84.5,4390.32,-824.0400000000001,-9.809999999999945
170,85.0,3977.073749999996,-828.945,-9.809999999999945
171,85.5,3561.375,-833.85,-9.809999999999945
172,86.0,3143.2237499999974,-838.755,-9.810000000000173
173,86.5,2722.6199999999953,-843.6600000000001,-9.809999999999945
174,87.0,2299.563750000001,-848.565,-9.809999999999945
175,87.5,1874.0550000000003,-853.47,-9.809999999999945
176,88.0,1446.09375,-858.375,-9.810000000000173
177,88.5,1015.6800000000003,-863.2800000000001,-9.809999999999945
178,89.0,582.8137500000012,-868.1850000000001,-9.809999999999945
179,89.5,147.49499999999534,-873.09,-9.809999999999945
180,90.0,-290.2762500000026,-877.995,-9.810000000000173
